identity	sum|ink|%	pages	major
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	0.56	3	0
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls	0.16	5	0
Background_Declaration_Template__xls	0.07	25	1
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	8.89	24	1
NPA_21_21_Sentenced_Comments__xls	0.52	2	1
PC1000__xls	1.79	13	0
SIL_TDB605__xls	1.18	44	1
SIL_TDB609__xls	1.36	50	1
TICAPCapability_Final__xls	5.39	17	2
TOGAF9-Tool-ConfReqts-CSQ__xls	16.76	28	4
apron-area__xls	1.23	3	1
Hazard Analysis Template__xls	2.20	3	0
